"RefDes";"Value"
"C1";"220u"
"C2";"10n"
"C3";"100n"
"C4";"100n"
"C5";"10u"
"C6";"100n"
"C7";"100n"
"C8";"22"
"C9";"10n"
"C10";"10u"
"C11";"100n"
"C12";"100n"
"C13";"22"
"D2";"SM712"
"F1";"1812 0.1A"
"F2";"1812 0.1A"
"J1";"COND"
"J2";"RS485"
"J3";"SWD"
"L1";"15uH"
"Q1";"BSH112"
"R1";"10k"
"R3";"20k"
"R4";"10k"
"R5";"10k"
"R6";"10k"
"R7";"120"
"R8";"18k"
"R9";"18k"
"U1";"AMS1117-3.3"
"U2";"STM32F030F4P6"
"U3";"ADM2582EBRWZ"
"Y1";"8MHz"
